Name Space,AsOnSphere,ProjectName,URL,ResourceType
uflBaldwin,Baldwin Library,Baldwin Library of Children's Literature,http://ufdcweb1.uflib.ufl.edu/ufdc/?a=juv,Digital Library/ Collection
ufldloc,DLoC,digital Library of the Caribbean (dLOC),http://ufdcweb1.uflib.ufl.edu/ufdc/?n=dloc&a=dloc1&m=hhh,Digital Library/ Collection
umn-hufflanterns,Ned L. Huff Lantern Slides,Ned Huff Lantern Slide Collection,http://umedia.lib.umn.edu/taxonomy/term/857,Digital Library/ Collection
uva_library,UVA Library,University of Virginia (Albert and Shirley Small) Special Collections,http://small.library.virginia.edu/,Library
UVaPress_VLCS,Victorian Series,Victorian Literature and Culture Series,links to University of Virginia Press home page,Press
victbib,Victorian Bibliography ,Victorian Studies Bibliography,http://www.letrs.indiana.edu/web/v/victbib/,Bibliography
victorian_wwp,VWWP,Victorian Women Writer's Project,http://webapp1.dlib.indiana.edu/vwwp/welcome.do,Digital Library/ Collection
Visual Haggard,Visual Haggard,Visual Haggard,http://www.visualhaggard.org,
walters,Walters,The Digital Walters,http://www.thedigitalwalters.org/01_ACCESS_WALTERS_MANUSCRIPTS.html,Library
whistler,Whistler,The Correspondence of James McNeill Whistler,http://www.whistler.arts.gla.ac.uk/,Online Edition
whitbib,Whitman Bib,Whitman Bibliography (at The Walt Whitman Archive),http://www.whitmanarchive.org/criticism/bibliography/index.html,Bibliography
whitman,Whitman Archive,The Walt Whitman Archive,http://www.whitmanarchive.org/,Digital Archive
woolf_ol,Woolf Ol,Woolf Online,http://www.woolfonline.com/,
WrightAmFic,Wright,Wright American Fiction,http://www.letrs.indiana.edu/cgi/t/text/text-idx?c=wright2;cc=wright2;sid=2fda8248a5b314bdf2fe730e6a46ca2d;tpl=home.tpl,Digital Library/ Collection
,Note Books of a Woman Alone,Note Books of a Woman Alone,http://drc.usask.ca/projects/notebooks/introduction.php,
yellow_nineties_online,Yellow 90s,The Yellow Nineties Online,http://www.1890s.ca/Default.aspx,Digital Editions- Paratext
