Name Space,AsOnSphere,ProjectName,URL,ResourceType
iwrp,Irish Women Poets,Irish Women Poets of the Romantic Period,http://lit.alexanderstreet.com/iwrp,Alexander Street Press
jstor-amerlitereal,American Literary Realism,American Literary Realism,https://www.press.uillinois.edu/journals/alr.html,
jstor-arthuriana,Arthuriana,Arthuriana: the Journal of Arthurian Studies,http://arthuriana.org/arthurwel.htm,
jstor-chaucerrev,Journal of Medieval Religious Cultures,Journal of Medieval Religious Cultures,http://www.psupress.org/journals/jnls_jmrc.html,
jstor-chaucerrev,jstor Jmedirelicult,Journal of Medieval Religious Cultures,http://www.psupress.org/journals/jnls_jmrc.html,
jstor-chaucerrev,The Chaucer Review,The Chaucer Review,http://www.psupress.org/journals/jnls_chaucer.html,
jstor-earlamerlite,Early American Literature,Early American Literature,http://earlyamlit.nd.edu/,
jstor-earlamerstud,Early American Studies,Early American Studies,https://eas.pennpress.org/,
jstor-eighcent,The Eighteenth Century,The Eighteenth Century,https://ecti.pennpress.org/,
jstor-eighcentirel,Eighteenth-Century Ireland,Eighteenth-Century Ireland,http://www.ecis.ie/journal/,
jstor-eighcentstud,Eighteenth-Century Studies,Eighteenth-Century Studies,https://www.press.jhu.edu/journals/eighteenth-century-studies,
jstor-jearlmodcultstud,Journal for Early Modern Cultural Studies,Journal for Early Modern Cultural Studies,https://jemcs.pennpress.org/,
jstor-jstudradi,Journal for the Study of Radicalism,Journal for the Study of Radicalism,http://msupress.org/journals/jsr/,
jstor-socialtext,Social Text,Social Text,https://socialtextjournal.org/,
jstor-socihist,Social History,Social History,https://academic.oup.com/jsh,
jstor-victlitcult,Victorian Literary Culture,Victorian Literary Culture,http://crln.acrl.org/index.php/crlnews/article/view/8355/8498,
jstor-victorianstudies,Victorian Studies,Victorian Studies,https://www.indiana.edu/%7Evictstu/victorianStudies.shtml,
jstor-victperiodrev,Victorian Periodicals Review,Victorian Periodicals Review,https://www.press.jhu.edu/journals/victorian-periodicals-review,
jstor-victpoet,Victorian Poetry,Victorian Poetry,http://wvupressonline.com/journals/victorian_poetry,
jstor-victrevi,Victorian Review,Victorian Review,http://victorianreview.org/,
jstor-wordsworthcircle,The Wordsworth Circle,The Wordsworth Circle,https://www.bu.edu/editinst/about/the-wordsworth-circle/,
jstorAmerLit,jstor AmerLit,JSTOR: American Literary (Journal),http://www.jstor.org/action/showPublication?journalCode=amerlitehist&,Journal online
jstorFOF,jstor FOF,NOVEL: A Forum on Fiction (Journal),http://www.jstor.org/action/showPublication?journalCode=noveforufict,Journal online
jstorNCF,19thC Fiction,JSTOR: Nineteenth-Century Fiction (Journal),http://ncl.ucpress.edu,Journal online
jstorNCL,19thC Literature,JSTOR: Nineteenth-Century Literature (Journal),http://ncl.ucpress.edu,Journal online
jstorSEL,SEL 1500-1900,JSTOR: Studies in English Literature- 1500-1900 (Journal),http://www.jstor.org/action/showPublication?journalCode=studengllite1500,Journal online
jstorTrollopian,Trollopian,JSTOR: Trollopian (Journal),http://www.jstor.org/action/showPublication?journalCode=trollopian,Journal online
labadie,Labadie,Joseph A. Labadie Collection,https://www.lib.umich.edu/labadie-collection,
Last Minstrel,Last Minstrel,The Lay of the Last Minstrel: A Poem,http://scott-minstrel.cath.vt.edu/index,Digital Editions- Paratext
lbt,Lord Byron,Lord Byron and His Times,http://lordbyron.org,
leighhunt,Leigh Hunt Online,Leigh Hunt Online: The Letters,http://digital.lib.uiowa.edu/leighhunt/,Digital Library/ Collection
lewisandclark,Lewis & Clark,The Journals of the Lewis and Clark Expedition Onlne,http://lewisandclarkjournals.unl.edu/,Online Edition
lilly,Lilly,The Lilly Library,http://www.indiana.edu/~liblilly/index.php,Library
livingstone,Livingstone Project,Livingstone Spectral Imaging Project (Livingstone's 1871 Field Diary),http://livingstone.library.ucla.edu/1871diary/livingstone1.htm,Digital Edition
locCommonsBain,Loc Commons Bain,Library of Congress: George Grantham Bain Collection,http://www.loc.gov/pictures/collection/ggbain/,LOC- flickr
locCommonsCW,Loc Commons CW,Library of Congress: Civil War Faces (on Flickr Commons),http://www.flickr.com/photos/library_of_congress/sets/72157625520211184/with/5229146672/,LOC- flickr
locEphemera,Loc Ephemera,Library of Congress: Rare Book & Special Collections Division,http://www.loc.gov/rr/rarebook/,LOC
locPrints,Loc Prints,Library of Congress: Prints and Photographs Division,http://www.loc.gov/pictures/,LOC
louisa_whitman,Louisa Whitman,The Letters from Louisa Van Velsor Whitman to Her Son Walt,https://whitmanarchive.org/biography/correspondence/lvvwintro.html,
maa,Medieval Academy Books,Medieval Academy Books Online,http://www.medievalacademy.org/?page=MAA_Books_Online,
mjp,Modernist Journals,Modernist Journals Project,http://www.modjourn.org/,
mjp_blast,Blast ,Modernist Journals Project: Blast,http://www.modjourn.org/,Digital Edition
mjp_bluereview,Blue Review,Modernist Journals Project: Blue Review,http://www.modjourn.org/,Digital Edition
mjp_coterie,Coterie,Modernist Journals Project: Coterie,http://www.modjourn.org/,Digital Edition
mjp_dana,Dana,Modernist Journals Project: Dana,http://www.modjourn.org/,Digital Edition
mjp_dome,Dome,Modernist Journals Project: Dome,http://www.modjourn.org/,Digital Edition
mjp_egoist,Egoist,Modernist Journals Project: Egoist,http://www.modjourn.org/,Digital Edition
mjp_englishreview,English Review,Modernist Journals Project: English Review,http://www.modjourn.org/,Digital Edition
mjp_freewoman,Freewoman,Modernist Journals Project: Freewoman,http://www.modjourn.org/,Digital Edition
mjp_imagistanthology,Imagist Anthologies,Modernist Journals Project: Imagist Anthologies,http://www.modjourn.org/,Digital Edition
mjp_littlereview,Little Review,Modernist Journals Project: Little Review,http://www.modjourn.org/,Digital Edition
mjp_masses,Masses,Modernist Journals Project: Masses,http://www.modjourn.org/,Digital Edition
mjp_mcclures,McClure's Magazine,Modernist Journals Project: McClure's Magazine,http://www.modjourn.org/,Digital Edition
mjp_misc,Miscellaneous Journals,Modernist Journals Project: Miscellaneous Journals,http://www.modjourn.org/,Digital Edition
mjp_newage,New Age,Modernist Journals Project: New Age,http://www.modjourn.org/,Digital Edition
mjp_newfreewoman,New Freewoman,Modernist Journals Project: New Freewoman,http://www.modjourn.org/,Digital Edition
mjp_others,Others,Modernist Journals Project: Others,http://www.modjourn.org/,Digital Edition
mjp_owl,Owl,Modernist Journals Project: Owl,http://www.modjourn.org/,Digital Edition
mjp_poetry,Poetry,Modernist Journals Project: Poetry,http://www.modjourn.org/,Digital Edition
mjp_rhythm,Rhythm,Modernist Journals Project: Rhythm,http://www.modjourn.org/,Digital Edition
mjp_scribners,Scribner's Magazine,Modernist Journals Project: Scribner's Magazine,http://www.modjourn.org/,Digital Edition
mjp_sevenarts,Seven Arts,Modernist Journals Project: Seven Arts,http://www.modjourn.org/,Digital Edition
mjp_tyro,Tyro,Modernist Journals Project: Tyro,http://www.modjourn.org/,Digital Edition
mjp_wheels,Wheels,Modernist Journals Project: Wheels,http://www.modjourn.org/,Digital Edition
mopaCommons,MoPA,Museum of Photographic Arts Collection,http://www.mopa.org/,Museum
morrisedition,Morris Online,Morris Online Edition,http://morrisedition.lib.uiowa.edu/index.html,Digital Library/ Collection
msuamrad_aa,Asian American,American Radicalism: Asian American,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=18&par=1,
msuamrad_bc,Birth Control,American Radicalism: Birth Control,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=25&par=1,
msuamrad_bp,Black Panther,American Radicalism: Black Panther,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=20&par=1,
msuamrad_ht,Hollywood Ten,American Radicalism: Hollywood Ten,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=26&par=1,
msuamrad_iww,Industrial Workers of the World,American Radicalism: Industrial Workers of the World,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=23&par=1,
msuamrad_rc,Rosenberg Case,American Radicalism: Rosenberg Case,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=27&par=1,
msuamrad_sb,Scottsboro Boys,American Radicalism: Scottsboro Boys,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=21&par=1,
msuamrad_sds,SDS,American Radicalism: Students for a Democratic Society,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=19&par=1,
msuamrad_sv,Sacco-Vanzetti,American Radicalism: Sacco-Vanzetti,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=28&par=1,
msuamrad_wk,Wounded Knee,American Radicalism: Wounded Knee,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=29&par=1,
msuamrad_kkk,Klu Klux Klan,American Radicalism: Klu Klux Klan,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=22&par=1,
msuamrad_aim,American Indian Movement,American Radicalism: American Indian Movement,https://lib.msu.edu/branches/dmc/collectionbrowse/?coll=24&par=1,
msumichilac,MW Chicano/Latino,Midwest Chicano/ Latino Activism Collection,https://d.lib.msu.edu/michilac,
